,State,National LGA Name 2017,Crash ID,lat,lng
0,ACT,Unincorporated ACT,51,-34.9219062,138.5961877
1,NSW,Albury,5,-36.0751193,146.9094852
2,NSW,Armidale Regional,12,-30.5035714,151.6523371
3,NSW,Ballina,12,-28.8627985,153.5658162
4,NSW,Balranald,5,-34.6394376,143.5629137
5,NSW,Bathurst Regional,25,-33.4111925,149.5786977
6,NSW,Bayside,23,-33.9581033,151.1985879
7,NSW,Bega Valley,18,-36.6806101,149.6564494
8,NSW,Bellingen,19,-30.4521493,152.8970631
9,NSW,Berrigan,4,-35.657423,145.8116744
10,NSW,Blacktown,46,-33.7660982,150.9126927
11,NSW,Bland,11,-33.9947581,147.6836448
12,NSW,Blayney,5,-33.53061539999999,149.2555693
13,NSW,Blue Mountains,9,-33.409983,150.3037323
14,NSW,Bogan,6,-31.6879664,146.741207
15,NSW,Bourke,2,-30.0888375,145.9377648
16,NSW,Brewarrina,3,-29.96247,146.8611294
17,NSW,Broken Hill,1,-31.9595859,141.4608138
18,NSW,Burwood,4,-33.8773941,151.1036621
19,NSW,Byron,11,-28.6533749,153.5334025
20,NSW,Cabonne,16,-33.1753246,148.8289611
21,NSW,Camden,11,-34.0659551,150.6935958
22,NSW,Campbelltown,19,-34.0666148,150.8195571
23,NSW,Canada Bay,8,-33.866234,151.1153528
24,NSW,Canterbury-Bankstown,45,-33.9164305,151.0354914
25,NSW,Carrathool,5,-34.4085281,145.4339876
26,NSW,Central Coast,87,-33.2319648,151.21729
27,NSW,Central Darling,3,-32.2715998,143.045893
28,NSW,Cessnock,23,-32.8321587,151.3558797
29,NSW,Clarence Valley,52,-29.878388,152.6383524
30,NSW,Cobar,3,-31.497762,145.8362994
31,NSW,Coffs Harbour,20,-30.2962013,153.1138924
32,NSW,Coolamon,5,-34.8168603,147.2007739
33,NSW,Coonamble,1,-30.954253,148.3884139
34,NSW,Cootamundra-Gundagai,17,-34.6394159,148.0258033
35,NSW,Cowra,11,-33.8346839,148.6911799
36,NSW,Cumberland,33,-33.8890304,151.2016178
37,NSW,Dubbo Regional,43,-32.2443908,148.614418
38,NSW,Dungog,5,-32.3998381,151.757979
39,NSW,Edward River,5,-35.2599445,144.4336724
40,NSW,Eurobodalla,25,-35.8894726,149.9334764
41,NSW,Fairfield,45,-33.8705856,150.9564102
42,NSW,Federation,13,-35.6002115,146.2929381
43,NSW,Forbes,7,-33.3844596,148.0080975
44,NSW,Georges River,19,-34.0494645,150.8953368
45,NSW,Gilgandra,8,-31.7109549,148.6576911
46,NSW,Glen Innes Severn,11,-29.70819059999999,151.8877321
47,NSW,Goulburn Mulwaree,22,-34.8812017,149.7487272
48,NSW,Greater Hume,18,-35.7236611,147.1915504
49,NSW,Griffith,10,-34.2886639,146.0323982
50,NSW,Gunnedah,7,-30.97943189999999,150.2565037
51,NSW,Gwydir,3,-29.6316325,150.4892292
52,NSW,Hawkesbury,31,-33.2262828,150.8609358
53,NSW,Hay,4,-34.5042009,144.8444508
54,NSW,Hilltops,19,-34.3613068,148.4629997
55,NSW,Hornsby,24,-33.7046328,151.0987055
56,NSW,Hunters Hill,3,-33.8337,151.14366
57,NSW,Inner West,17,-33.8924403,151.1438073
58,NSW,Inverell,14,-29.7739244,151.1114386
59,NSW,Junee,10,-34.8689219,147.5833258
60,NSW,Kempsey,19,-31.0804831,152.8418039
61,NSW,Kiama,5,-34.669198,150.8528343
62,NSW,Ku-ring-gai,11,-33.7416052,151.1519716
63,NSW,Kyogle,12,-28.6253894,153.0025814
64,NSW,Lachlan,7,-32.7625409,147.1013188
65,NSW,Lake Macquarie,58,-33.0311225,151.5603244
66,NSW,Lane Cove,5,-33.8146357,151.1699091
67,NSW,Leeton,5,-34.5517791,146.4055582
68,NSW,Lismore,18,-28.80943079999999,153.287891
69,NSW,Lithgow,11,-33.4827345,150.1570173
70,NSW,Liverpool,35,-33.9285567,150.9179595
71,NSW,Liverpool Plains,7,-31.6431494,150.4892292
72,NSW,Lockhart,1,-35.2214842,146.7187779
73,NSW,Maitland,14,-32.7315527,151.5525086
74,NSW,Mid-Coast,57,-32.0713929,151.8877321
