,Crash_ID,Counter,Year,State,Crash_Type,Road_User,Gender,Age,Age_Group,Age_Category,Gender_rank,Crash_Type_rank,Road_User_rank
0,20212045,1,2021,Vic,Single,Driver,Male,36,26_to_39,27-36 Years,2,1,1
1,20212082,1,2021,Vic,Single,Motorcycle rider,Male,63,40_to_64,57-66 Years,2,1,2
2,20212079,1,2021,Vic,Single,Driver,Female,67,65_to_74,67+ Years,1,1,1
3,20212111,1,2021,Vic,Single,Driver,Female,50,40_to_64,47-56 Years,1,1,1
4,20212149,1,2021,Vic,Multiple,Driver,Male,25,17_to_25,17-26 Years,2,2,1
5,20212023,1,2021,Vic,Single,Driver,Female,47,40_to_64,47-56 Years,1,1,1
6,20212080,1,2021,Vic,Single,Passenger,Male,65,65_to_74,57-66 Years,2,1,4
7,20212141,1,2021,Vic,Multiple,Driver,Male,67,65_to_74,67+ Years,2,2,1
8,20212054,1,2021,Vic,Multiple,Pedal cyclist,Male,72,65_to_74,67+ Years,2,2,3
9,20212134,1,2021,Vic,Multiple,Driver,Male,66,65_to_74,57-66 Years,2,2,1
10,20212041,1,2021,Vic,Multiple,Passenger,Male,56,40_to_64,47-56 Years,2,2,4
11,20212158,1,2021,Vic,Single,Driver,Female,20,17_to_25,17-26 Years,1,1,1
12,20212114,1,2021,Vic,Multiple,Motorcycle rider,Male,22,17_to_25,17-26 Years,2,2,2
13,20212037,1,2021,Vic,Single,Pedestrian,Male,68,65_to_74,67+ Years,2,1,5
14,20212094,1,2021,Vic,Single,Pedestrian,Male,1,0_to_16,<16 Years,2,1,5
15,20212088,1,2021,Vic,Single,Pedestrian,Female,81,75_or_older,67+ Years,1,1,5
16,20212019,1,2021,Vic,Single,Pedestrian,Female,53,40_to_64,47-56 Years,1,1,5
17,20212006,1,2021,Vic,Single,Pedestrian,Female,75,75_or_older,67+ Years,1,1,5
18,20212044,1,2021,Vic,Single,Pedestrian,Female,84,75_or_older,67+ Years,1,1,5
19,20212118,1,2021,Vic,Single,Pedestrian,Male,79,75_or_older,67+ Years,2,1,5
20,20212113,1,2021,Vic,Single,Pedestrian,Female,80,75_or_older,67+ Years,1,1,5
21,20212109,1,2021,Vic,Single,Driver,Female,23,17_to_25,17-26 Years,1,1,1
22,20212063,1,2021,Vic,Single,Driver,Female,57,40_to_64,57-66 Years,1,1,1
23,20212112,1,2021,Vic,Single,Driver,Male,37,26_to_39,37-46 Years,2,1,1
24,20212081,1,2021,Vic,Single,Motorcycle rider,Male,43,40_to_64,37-46 Years,2,1,2
25,20212038,1,2021,Vic,Single,Driver,Male,50,40_to_64,47-56 Years,2,1,1
26,20212103,1,2021,Vic,Single,Motorcycle rider,Male,56,40_to_64,47-56 Years,2,1,2
27,20212047,1,2021,Vic,Multiple,Motorcycle rider,Male,65,65_to_74,57-66 Years,2,2,2
28,20212117,1,2021,Vic,Multiple,Driver,Female,71,65_to_74,67+ Years,1,2,1
29,20212107,1,2021,Vic,Single,Passenger,Female,40,40_to_64,37-46 Years,1,1,4
30,20212116,1,2021,Vic,Multiple,Driver,Male,61,40_to_64,57-66 Years,2,2,1
31,20212061,1,2021,Vic,Multiple,Pedal cyclist,Male,25,17_to_25,17-26 Years,2,2,3
32,20212139,1,2021,Vic,Multiple,Driver,Male,37,26_to_39,37-46 Years,2,2,1
33,20212100,1,2021,Vic,Single,Driver,Male,18,17_to_25,17-26 Years,2,1,1
34,20212151,1,2021,Vic,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
35,20212146,1,2021,Vic,Single,Driver,Male,19,17_to_25,17-26 Years,2,1,1
36,20212110,1,2021,Vic,Single,Driver,Male,37,26_to_39,37-46 Years,2,1,1
37,20212123,1,2021,Vic,Multiple,Driver,Male,23,17_to_25,17-26 Years,2,2,1
38,20212064,1,2021,Vic,Single,Driver,Male,85,75_or_older,67+ Years,2,1,1
39,20212089,1,2021,Vic,Single,Driver,Male,24,17_to_25,17-26 Years,2,1,1
40,20212093,1,2021,Vic,Single,Driver,Male,21,17_to_25,17-26 Years,2,1,1
41,20212101,1,2021,Vic,Single,Driver,Male,29,26_to_39,27-36 Years,2,1,1
42,20212115,1,2021,Vic,Multiple,Motorcycle rider,Male,31,26_to_39,27-36 Years,2,2,2
43,20212049,1,2021,Vic,Multiple,Motorcycle rider,Male,65,65_to_74,57-66 Years,2,2,2
44,20212059,1,2021,Vic,Multiple,Driver,Male,23,17_to_25,17-26 Years,2,2,1
45,20212012,1,2021,Vic,Multiple,Motorcycle rider,Male,55,40_to_64,47-56 Years,2,2,2
46,20212084,1,2021,Vic,Multiple,Motorcycle rider,Male,31,26_to_39,27-36 Years,2,2,2
47,20212020,1,2021,Vic,Single,Driver,Male,91,75_or_older,67+ Years,2,1,1
48,20212091,1,2021,Vic,Single,Pedestrian,Female,61,40_to_64,57-66 Years,1,1,5
49,20215060,1,2021,WA,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
50,20215082,1,2021,WA,Single,Driver,Male,27,26_to_39,27-36 Years,2,1,1
51,20215021,1,2021,WA,Single,Motorcycle rider,Male,45,40_to_64,37-46 Years,2,1,2
52,20215079,1,2021,WA,Multiple,Driver,Male,39,26_to_39,37-46 Years,2,2,1
53,20215108,1,2021,WA,Multiple,Driver,Male,54,40_to_64,47-56 Years,2,2,1
54,20215058,1,2021,WA,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
55,20215110,1,2021,WA,Single,Driver,Female,14,0_to_16,<16 Years,1,1,1
56,20215090,1,2021,WA,Multiple,Pedal cyclist,Male,84,75_or_older,67+ Years,2,2,3
57,20215031,1,2021,WA,Single,Motorcycle rider,Male,45,40_to_64,37-46 Years,2,1,2
58,20215063,1,2021,WA,Single,Driver,Male,17,17_to_25,17-26 Years,2,1,1
59,20215108,1,2021,WA,Multiple,Driver,Male,88,75_or_older,67+ Years,2,2,1
60,20215043,1,2021,WA,Single,Driver,Female,25,17_to_25,17-26 Years,1,1,1
61,20215006,1,2021,WA,Single,Passenger,Male,12,0_to_16,<16 Years,2,1,4
62,20215044,1,2021,WA,Single,Driver,Male,44,40_to_64,37-46 Years,2,1,1
63,20215019,1,2021,WA,Single,Driver,Female,26,26_to_39,17-26 Years,1,1,1
64,20215105,1,2021,WA,Single,Driver,Male,64,40_to_64,57-66 Years,2,1,1
